inicio,fin,proyecto,tipo,modelo,coste_usd,llamadas,input,output,cache_read,cache_write,duracion_min,resultado,objetivo_o_prompt
2026-06-17T22:06:54.718000+02:00,2026-06-17T22:22:05.763000+02:00,web-sistemasElectronicos,Programación,sonnet-4-6,3.1054,44,119,58841,4891709,125822,15.2,,
2026-06-17T21:20:47.620000+02:00,2026-06-17T22:34:37.129000+02:00,motor-agentico-basico,Programación,sonnet-4-6,4.1238,67,102,76975,7101960,204620,73.8,,
2026-06-17T21:15:00.190000+02:00,2026-06-17T21:18:19.760000+02:00,fr4nc15co,Scripting/Shell,sonnet-4-6,0.6004,23,95,12791,726729,91821,3.3,,
2026-06-17T21:07:09.365000+02:00,2026-06-17T21:10:58.707000+02:00,motor-agentico-basico,Programación,sonnet-4-6,0.4711,21,80,15639,657270,79156,3.8,,
2026-06-17T20:51:30.389000+02:00,2026-06-17T21:05:08.782000+02:00,motor-agentico-basico,Programación,opus-4-8,4.0245,33,6150,53122,2251691,153983,13.6,,
2026-06-17T19:56:57.965000+02:00,2026-06-17T19:59:07.279000+02:00,GraphifyYourProject,Orquestación,opus-4-8,0.5093,15,7523,12108,190256,31252,2.2,,
2026-06-17T17:56:53.018000+02:00,2026-06-17T20:03:08.301000+02:00,motor-agentico-basico,Programación,opus-4-8,25.0838,120,9332,242425,30947206,350293,126.3,,
2026-06-17T15:35:21.390000+02:00,2026-06-17T21:07:28.274000+02:00,motor-agentico-basico,Programación,opus-4-8,7.2041,45,6299,108956,3454481,314528,332.1,,
2026-06-17T13:11:59.120000+02:00,2026-06-17T20:08:37.326000+02:00,motor-agentico-basico,Orquestación,opus-4-8,25.9763,168,10140,182433,27703652,873224,416.6,,
2026-06-17T10:46:18.084000+02:00,2026-06-17T10:46:18.084000+02:00,SOCIAREM-TopologicalOptTool,Otro,sonnet-4-6,0.0964,1,3,54,19622,14952,0.0,,
2026-06-17T10:29:39.309000+02:00,2026-06-17T10:50:07.319000+02:00,motor-agentico-basico,Documentación,sonnet-4-6,2.7399,48,62,25054,2749623,256499,13,mostly_achieved,"Enhance a Claude Code cost analysis dashboard by adding enterprise/teams subscription tiers, documentation, and visual screenshots"
2026-06-17T09:06:40.370000+02:00,2026-06-17T10:51:38.643000+02:00,motor-agentico-basico,Programación,opus-4-8,38.7326,163,13351,244440,44012666,1333443,18,mostly_achieved,"Improve a local Claude Code cost dashboard by making the UI dynamic with topic-based tabs, customizing the server URL, and adding enterprise pricing KPIs like ROI"
2026-06-16T16:39:50.984000+02:00,2026-06-16T17:32:04.417000+02:00,SOCIAREM-TopologicalOptTool,Configuración/DevOps,opus-4-8,19.342,124,14797,135966,19559885,765538,52,mostly_achieved,"Add a 'shared solar panels' mode for buildings where all buildings use the same panel type and common site location, and show the % of PV relative to total installable PV in the results"
2026-06-16T16:05:39.783000+02:00,2026-06-16T16:27:24.488000+02:00,SOCIAREM-TopologicalOptTool,Programación,opus-4-8,4.107,64,6599,25893,3445331,170406,22,fully_achieved,"Add a credits line (developers, university, version) to the SOCIAREM tool's sidebar footer, with proper i18n support"
